properties{
  x = 0,
  y = 0,
  width = 640,
  height = 2800,
  min_layer = 0,
  max_layer = 2,
  tileset = "metal-base",
  music = "blood_n_storm",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 640,
  height = 2800,
  pattern = "2",
}

tile{
  layer = 0,
  x = 488,
  y = 208,
  width = 32,
  height = 96,
  pattern = "19",
}

tile{
  layer = 0,
  x = 376,
  y = 832,
  width = 128,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 208,
  y = 640,
  width = 112,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 136,
  y = 768,
  width = 64,
  height = 48,
  pattern = "1",
}

tile{
  layer = 0,
  x = 136,
  y = 816,
  width = 64,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 584,
  y = 1120,
  width = 16,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 472,
  y = 1088,
  width = 16,
  height = 128,
  pattern = "1",
}

tile{
  layer = 0,
  x = 384,
  y = 1088,
  width = 96,
  height = 128,
  pattern = "1",
}

tile{
  layer = 0,
  x = 296,
  y = 1248,
  width = 48,
  height = 160,
  pattern = "8",
}

tile{
  layer = 0,
  x = 312,
  y = 1264,
  width = 16,
  height = 16,
  pattern = "2",
}

tile{
  layer = 0,
  x = 408,
  y = 1264,
  width = 80,
  height = 64,
  pattern = "1",
}

tile{
  layer = 0,
  x = 16,
  y = 1520,
  width = 608,
  height = 32,
  pattern = "1",
}

tile{
  layer = 0,
  x = 592,
  y = 1760,
  width = 32,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 128,
  y = 1760,
  width = 64,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 496,
  y = 1856,
  width = 16,
  height = 96,
  pattern = "1",
}

tile{
  layer = 0,
  x = 264,
  y = 2192,
  width = 8,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 8,
  y = 2400,
  width = 80,
  height = 48,
  pattern = "1",
}

tile{
  layer = 0,
  x = 232,
  y = 2336,
  width = 128,
  height = 112,
  pattern = "1",
}

tile{
  layer = 0,
  x = 0,
  y = 2656,
  width = 48,
  height = 144,
  pattern = "1",
}

tile{
  layer = 0,
  x = 80,
  y = 2656,
  width = 160,
  height = 144,
  pattern = "1",
}

tile{
  layer = 0,
  x = 560,
  y = 2672,
  width = 8,
  height = 128,
  pattern = "5",
}

tile{
  layer = 0,
  x = 560,
  y = 2656,
  width = 8,
  height = 16,
  pattern = "11",
}

tile{
  layer = 0,
  x = 584,
  y = 2608,
  width = 8,
  height = 192,
  pattern = "4",
}

tile{
  layer = 0,
  x = 584,
  y = 2592,
  width = 8,
  height = 16,
  pattern = "12",
}

tile{
  layer = 0,
  x = 584,
  y = 2592,
  width = 8,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 568,
  y = 2592,
  width = 16,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 560,
  y = 2592,
  width = 8,
  height = 16,
  pattern = "7",
}

tile{
  layer = 0,
  x = 424,
  y = 2592,
  width = 8,
  height = 16,
  pattern = "6",
}

tile{
  layer = 0,
  x = 304,
  y = 2592,
  width = 48,
  height = 64,
  pattern = "1",
}

tile{
  layer = 0,
  x = 304,
  y = 2496,
  width = 128,
  height = 96,
  pattern = "1",
}

tile{
  layer = 0,
  x = 424,
  y = 2496,
  width = 8,
  height = 96,
  pattern = "5",
}

tile{
  layer = 0,
  x = 560,
  y = 2336,
  width = 8,
  height = 256,
  pattern = "4",
}

tile{
  layer = 0,
  x = 592,
  y = 2320,
  width = 48,
  height = 480,
  pattern = "1",
}

tile{
  layer = 0,
  x = 568,
  y = 2320,
  width = 64,
  height = 272,
  pattern = "1",
}

tile{
  layer = 0,
  x = 360,
  y = 2592,
  width = 64,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 16,
  y = 2464,
  width = 8,
  height = 192,
  pattern = "5",
}

tile{
  layer = 0,
  x = 88,
  y = 2560,
  width = 8,
  height = 16,
  pattern = "7",
}

tile{
  layer = 0,
  x = 88,
  y = 2528,
  width = 8,
  height = 32,
  pattern = "4",
}

tile{
  layer = 0,
  x = 224,
  y = 2560,
  width = 8,
  height = 16,
  pattern = "6",
}

tile{
  layer = 0,
  x = 224,
  y = 2528,
  width = 8,
  height = 32,
  pattern = "5",
}

tile{
  layer = 0,
  x = 296,
  y = 2464,
  width = 8,
  height = 192,
  pattern = "4",
}

tile{
  layer = 0,
  x = 96,
  y = 2560,
  width = 128,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 96,
  y = 2512,
  width = 128,
  height = 48,
  pattern = "1",
}

tile{
  layer = 0,
  x = 0,
  y = 240,
  width = 16,
  height = 2416,
  pattern = "1",
}

tile{
  layer = 0,
  x = 424,
  y = 2480,
  width = 8,
  height = 16,
  pattern = "11",
}

tile{
  layer = 0,
  x = 296,
  y = 2448,
  width = 8,
  height = 16,
  pattern = "12",
}

tile{
  layer = 0,
  x = 344,
  y = 2480,
  width = 80,
  height = 16,
  pattern = "1",
}

tile{
  layer = 0,
  x = 304,
  y = 2448,
  width = 48,
  height = 48,
  pattern = "1",
}

tile{
  layer = 0,
  x = 560,
  y = 2320,
  width = 8,
  height = 16,
  pattern = "12",
}

tile{
  layer = 0,
  x = 560,
  y = 2320,
  width = 8,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 480,
  y = 2320,
  width = 80,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 16,
  y = 2448,
  width = 8,
  height = 16,
  pattern = "11",
}

tile{
  layer = 0,
  x = 16,
  y = 2448,
  width = 8,
  height = 16,
  pattern = "9",
}

tile{
  layer = 0,
  x = 96,
  y = 2272,
  width = 256,
  height = 64,
  pattern = "1",
}

tile{
  layer = 0,
  x = 88,
  y = 2448,
  width = 8,
  height = 16,
  pattern = "6",
}

tile{
  layer = 0,
  x = 24,
  y = 2448,
  width = 64,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 232,
  y = 2448,
  width = 64,
  height = 16,
  pattern = "3",
}

